Desktop_Software_Build_Version,1.7
#,Year,Month,Day,Hour,Minute,Second,VelX,VelY,VelZ,SNR1,SNR2,SNR3,AccX,AccY,AccZ,Temp
(),(),(),(),(),(),(),(m/s),(m/s),(m/s),(dB),(dB),(dB),(cnts),(cnts),(cnts),(°C)
01,2024,03,12,12,04,27,0.072,-0.04,NaN,46.875,45.303,NaN,51.494,602.78,16362.66,4.59
01,2024,03,12,12,04,28,0.113,0.013,NaN,45.011,44.387,NaN,-15.63,274.234,16340.77,4.59
01,2024,03,12,12,04,28,0.114,-0.104,NaN,46.72,45.013,NaN,-101.305,421.856,16341.02,4.59
01,2024,03,12,12,04,29,0.189,-0.051,NaN,44.235,44.655,NaN,40.712,274.662,16432.76,4.59
01,2024,03,12,12,04,29,0.112,-0.058,NaN,43.836,45.326,NaN,21.249,247.467,16441.83,4.59
01,2024,03,12,12,04,30,0.154,-0.123,NaN,44.257,43.851,NaN,53.054,248.767,16456.69,4.578
01,2024,03,12,12,04,30,0.18,-0.102,NaN,45.144,43.739,NaN,114.505,284.003,16422.67,4.562
01,2024,03,12,12,04,31,0.146,-0.125,NaN,44.213,44.454,NaN,133.327,224.649,16428.76,4.55
01,2024,03,12,12,04,31,0.216,-0.04,NaN,45.832,45.214,NaN,170.765,342.904,16425.62,4.55
01,2024,03,12,12,04,32,0.186,-0.071,NaN,45.056,44.879,NaN,156.446,395.649,16438.74,4.55
01,2024,03,12,12,04,32,0.095,-0.029,NaN,45.189,47.471,NaN,165.872,441.719,16468.12,4.55
01,2024,03,12,12,04,33,0.098,-0.048,NaN,45.034,44.342,NaN,177.042,353.948,16438.62,4.55
01,2024,03,12,12,04,33,0.084,-0.046,NaN,45.921,43.739,NaN,88.724,314.296,16446.61,4.55
01,2024,03,12,12,04,34,0.051,-0.098,NaN,46.121,44.655,NaN,145.216,416.411,16448.38,4.55
01,2024,03,12,12,04,34,0.178,-0.069,NaN,46.298,42.577,NaN,244.141,514.122,16388.29,4.526
01,2024,03,12,12,04,35,0.142,-0.06,NaN,46.586,44.186,NaN,214.747,627.053,16472.19,4.509
01,2024,03,12,12,04,35,0.195,-0.12,NaN,45.344,47.024,NaN,165.426,574.876,16432.6,4.509
01,2024,03,12,12,04,36,0.24,-0.111,NaN,49.226,45.169,NaN,165.717,675.53,16447.98,4.509
01,2024,03,12,12,04,36,0.183,-0.156,NaN,47.185,44.097,NaN,168.866,710.557,16464.37,4.509
01,2024,03,12,12,04,37,0.145,-0.131,NaN,44.9,45.058,NaN,189.909,747.298,16460.21,4.509
01,2024,03,12,12,04,37,0.145,-0.071,NaN,44.634,45.505,NaN,138.944,749.308,16443.52,4.509
01,2024,03,12,12,04,38,0.107,-0.071,NaN,44.013,43.717,NaN,44.633,864.172,16361.72,4.509
01,2024,03,12,12,04,38,0.113,-0.008,NaN,43.924,44.611,NaN,138.454,887.218,16412.85,4.509
01,2024,03,12,12,04,39,0.104,-0.036,NaN,45.344,43.471,NaN,125.071,789.611,16419.72,4.501
01,2024,03,12,12,04,39,0.201,-0.077,NaN,45.632,42.353,NaN,132.323,928.894,16408.37,4.481
01,2024,03,12,12,04,40,0.202,-0.044,NaN,47.008,46.153,NaN,139.616,815.153,16418.56,4.473
01,2024,03,12,12,04,40,0.145,-0.042,NaN,47.052,43.739,NaN,141.406,867.895,16423.9,4.469
01,2024,03,12,12,04,41,0.073,-0.046,NaN,44.878,44.968,NaN,118.748,827.963,16428,4.469
01,2024,03,12,12,04,41,0.099,-0.043,NaN,45.388,43.962,NaN,111.733,962.627,16405.21,4.469
01,2024,03,12,12,04,42,0.128,-0.149,NaN,44.501,45.035,NaN,165.572,952.399,16442.66,4.469
01,2024,03,12,12,04,42,0.232,-0.117,NaN,45.721,44.365,NaN,128.96,949.523,16427.72,4.469
01,2024,03,12,12,04,43,0.156,-0.207,NaN,46.72,43.605,NaN,132.267,940.016,16416.48,4.469
01,2024,03,12,12,04,43,0.137,-0.072,NaN,44.501,43.918,NaN,124.127,933.579,16424.3,4.469
01,2024,03,12,12,04,44,0.086,-0.06,NaN,44.479,42.89,NaN,149.833,987.739,16436.38,4.469
01,2024,03,12,12,04,44,0.196,-0.081,NaN,44.523,45.818,NaN,145.465,1004.01,16410.88,4.469
01,2024,03,12,12,04,45,0.097,-0.143,NaN,45.943,43.292,NaN,138.518,936.691,16426.13,4.469
01,2024,03,12,12,04,45,0.22,-0.103,NaN,45.699,43.56,NaN,175.551,998.857,16432.04,4.469
01,2024,03,12,12,04,46,0.098,-0.018,NaN,45.743,47.762,NaN,171.974,875.836,16414.8,4.469
01,2024,03,12,12,04,46,0.206,-0.031,NaN,43.037,44.678,NaN,144.983,931.922,16419.77,4.465
01,2024,03,12,12,04,47,0.273,-0.147,NaN,45.522,42.957,NaN,159.274,914.235,16421.4,4.441
01,2024,03,12,12,04,47,0.201,-0.031,NaN,45.1,42.957,NaN,134.964,904.57,16440.17,4.437
01,2024,03,12,12,04,48,0.029,-0.082,NaN,43.636,44.812,NaN,163.152,976.879,16394.85,4.437
01,2024,03,12,12,04,48,0.167,-0.027,NaN,46.786,43.739,NaN,168.282,851.59,16441.72,4.429
01,2024,03,12,12,04,49,0.122,-0.073,NaN,47.274,44.164,NaN,181.923,947.784,16415.63,4.429
01,2024,03,12,12,04,50,0.191,-0.106,NaN,44.9,43.538,NaN,168.871,909.403,16419.88,4.429
