Desktop_Software_Build_Version,1.7
Site_Name,,OU
Site_Number,,01171060
Local_Start_Time,,2024-03-12 12:02:07
Local_End_Time,,2024-03-12 12:29:17
Local_Time_UTC_Offset_Hours,Hours,-4.0000
Operator,,MJH
Handheld_Serial_Number,,FT2H2119002
Handheld_Software_Version,,1.6.4
Wading Rod,,TopSetting
Handheld_Units_System,,English
Number_Of_Probes,,1
ADV_Serial_Number,,FT2P2111007
ADV_Firmware_Version,,1.30
ADV_Number_Of_Beams,,2
Comment,,
Calculations_Engine,,FlowTracker2
Number_Of_Stations,,19
Discharge_Equation,,MidSection
Rated_Discharge,m³/s,NaN
Rated_Height,m³/s,NaN
Minimum_Boundary_Status,,Best
Total_Width,m,1.646
Total_Area,m²,0.296
Total_Discharge,m³/s,0.074
Mean_Depth,m,0.18
Mean_Velocity_Vx,m/s,0.251
Mean_Velocity_Vy,m/s,-0.049
Mean_Velocity_Vz,m/s,NaN
Mean_SNR,dB,45.207
Mean_VxErr,m/s,0.005
Mean_VyErr,m/s,0.004
Mean_VzErr,m/s,0
Mean_Temp,°C,4.386

Quality_Control_Checks
Station_Spacing,,Pass
Station_Order,,Pass
Water_Depth,,Pass
Boundary_Interference,,Pass
Fractional_Depth,,Pass
Low_SNR,,Pass
Approaching_Low_SNR,,Pass
Beam_SNRs_Similar,,Pass
Large_SNR_Variation,,Pass
SNR_Threshold_Variation,,Pass
Velocity_Standard_Error,,Pass
Percent_Of_Spikes,,Pass
Velocity_Angle,,Pass
Rod_Angle,,Pass
Station_Discharge,,Pass
End_Edge_Location,,Pass
Noise_Level,,Pass
Peak_Location,,Pass
Peak_Shape,,Pass
Pre_Calculation_Validation,,Pass

Discharge_Uncertainty_ISO
Overall,%,3.516
Accuracy,%,1
Depth,%,0.367
Velocity,%,0.622
Width,%,0.131
Method,%,1.958
#_Stations,%,2.645

Discharge_Uncertainty_IVE
Overall,%,3.985
Accuracy,%,1
Depth,%,3.571
Velocity,%,1.453
Width,%,0.128

Supplemental_Data,#,0
Record_Number,Date_And_Time,Gauge_Height (m),Rated_Discharge (m³/s),Temperature (°C),Salinity (PSS-78),Comments

Automated_Beam_Check,#,1
Record_Number,Date_And_Time,Noise_Level_Check,SNR_Check,Peak_Location_Check,Peak_Shape_Check
01,2024-03-12 12:02:45,Pass,Pass,Pass,Pass

St,Clock,GPSLat,GPSLon,Loc,LocY,FinalD,IceD,WsIceD,WsSlushD,%Dep,MeasD,Npts,Spike,VelX,VelY,VelZ,Angle,VxErr,VyErr,VzErr,SNR1,SNR2,SNR3,Bnd,Temp,Tilt,CorrFact,MeanV,Area,Flow,%Q
(#),(),(deg N),(deg E),(m),(m),(m),(m),(m),(m),(),(m),(#),(#),(m/s),(m/s),(m/s),(deg),(m/s),(m/s),(m/s),(dB),(dB),(dB),(),(°C),(deg),(),(m/s),(m²),(m³/s),(%)
000,12:03:14,NaN,NaN,2.103,NaN,0.192,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Undefined,NaN,NaN,0.85,0.131,0.015,0.002,2.575
001,12:04:27,NaN,NaN,1.951,NaN,0.265,NaN,NaN,NaN,0.6,0.159,80,2,0.154,-0.079,NaN,-27.133,0.007,0.006,0,45.359,44.326,NaN,Best,4.465,2.734,1.00,0.154,0.032,0.005,6.693
002,12:06:09,NaN,NaN,1.859,NaN,0.283,NaN,NaN,NaN,0.6,0.17,80,0,0.198,-0.108,NaN,-28.621,0.007,0.005,0,45.006,44.221,NaN,Best,4.349,1.132,1.00,0.198,0.022,0.004,5.752
003,12:07:14,NaN,NaN,1.798,NaN,0.308,NaN,NaN,NaN,0.6,0.185,80,1,0.259,-0.072,NaN,-15.596,0.007,0.005,0,45.348,44.841,NaN,Best,4.338,2.166,1.00,0.259,0.019,0.005,6.564
004,12:08:11,NaN,NaN,1.737,NaN,0.308,NaN,NaN,NaN,0.6,0.185,80,2,0.262,-0.093,NaN,-19.594,0.008,0.005,0,45.81,45.12,NaN,Best,4.344,1.121,1.00,0.262,0.019,0.005,6.621
005,12:09:12,NaN,NaN,1.676,NaN,0.296,NaN,NaN,NaN,0.6,0.177,80,0,0.33,-0.06,NaN,-10.343,0.006,0.004,0,46.004,45.301,NaN,Best,4.336,1.11,1.00,0.33,0.018,0.006,8.027
006,12:10:23,NaN,NaN,1.615,NaN,0.277,NaN,NaN,NaN,0.6,0.166,80,1,0.339,-0.063,NaN,-10.539,0.007,0.004,0,46.34,45.75,NaN,Best,4.348,1.536,1.00,0.339,0.017,0.006,7.715
007,12:11:22,NaN,NaN,1.554,NaN,0.247,NaN,NaN,NaN,0.6,0.148,80,1,0.32,-0.084,NaN,-14.692,0.007,0.003,0,46.484,45.629,NaN,Best,4.349,1.502,1.00,0.32,0.015,0.005,6.485
008,12:12:25,NaN,NaN,1.494,NaN,0.247,NaN,NaN,NaN,0.6,0.148,80,0,0.34,-0.049,NaN,-8.143,0.007,0.003,0,46.341,45.915,NaN,Best,4.349,2.264,1.00,0.34,0.015,0.005,6.894
009,12:13:23,42.43176N,072.68074W,1.433,NaN,0.244,NaN,NaN,NaN,0.6,0.146,80,1,0.35,-0.04,NaN,-6.447,0.005,0.003,0,46.444,45.807,NaN,Best,4.349,3.274,1.00,0.35,0.015,0.005,7.022
