Desktop_Software_Build_Version,1.7
#,St,Method,%Dep,MeasD,Npts,Spike,CorrFact,Loc,LocY,Depth1,Depth2,FinalD,IceD,WsIceD,WsSlushD,VelX,VelY,VelZ,Angle,VxErr,VyErr,VzErr,SNR1,SNR2,SNR3,SNRStd1,SNRStd2,SNRStd3,Temp,Batt,Tilt
(),(),(),(),(m),(),(),(),(m),(m),(m),(m),(m),(m),(m),(m),(m/s),(m/s),(m/s),(deg),(m/s),(m/s),(m/s),(dB),(dB),(dB),(dB),(dB),(dB),(°C),(V),(deg)
001,001,0.6,0.6,0.159,80,2,1.00,1.951,NaN,0.265,NaN,0.265,NaN,NaN,NaN,0.154,-0.079,NaN,-27.133,0.007,0.006,0,45.359,44.326,NaN,1.213,1.263,NaN,4.465,12.275,2.734
002,002,0.6,0.6,0.17,80,0,1.00,1.859,NaN,0.283,NaN,0.283,NaN,NaN,NaN,0.198,-0.108,NaN,-28.621,0.007,0.005,0,45.006,44.221,NaN,1.572,1.536,NaN,4.349,12.194,1.132
003,003,0.6,0.6,0.185,80,1,1.00,1.798,NaN,0.308,NaN,0.308,NaN,NaN,NaN,0.259,-0.072,NaN,-15.596,0.007,0.005,0,45.348,44.841,NaN,1.274,1.248,NaN,4.338,12.137,2.166
004,004,0.6,0.6,0.185,80,2,1.00,1.737,NaN,0.308,NaN,0.308,NaN,NaN,NaN,0.262,-0.093,NaN,-19.594,0.008,0.005,0,45.81,45.12,NaN,1.459,1.261,NaN,4.344,12.097,1.121
005,005,0.6,0.6,0.177,80,0,1.00,1.676,NaN,0.296,NaN,0.296,NaN,NaN,NaN,0.33,-0.06,NaN,-10.343,0.006,0.004,0,46.004,45.301,NaN,1.136,1.078,NaN,4.336,12.039,1.11
006,006,0.6,0.6,0.166,80,1,1.00,1.615,NaN,0.277,NaN,0.277,NaN,NaN,NaN,0.339,-0.063,NaN,-10.539,0.007,0.004,0,46.34,45.75,NaN,1.076,1.114,NaN,4.348,11.996,1.536
007,007,0.6,0.6,0.148,80,1,1.00,1.554,NaN,0.247,NaN,0.247,NaN,NaN,NaN,0.32,-0.084,NaN,-14.692,0.007,0.003,0,46.484,45.629,NaN,1.062,1.111,NaN,4.349,11.94,1.502
008,008,0.6,0.6,0.148,80,0,1.00,1.494,NaN,0.247,NaN,0.247,NaN,NaN,NaN,0.34,-0.049,NaN,-8.143,0.007,0.003,0,46.341,45.915,NaN,1.093,1.057,NaN,4.349,11.916,2.264
009,009,0.6,0.6,0.146,80,1,1.00,1.433,NaN,0.244,NaN,0.244,NaN,NaN,NaN,0.35,-0.04,NaN,-6.447,0.005,0.003,0,46.444,45.807,NaN,1.283,1.001,NaN,4.349,11.859,3.274
010,010,0.6,0.6,0.146,80,0,1.00,1.372,NaN,0.244,NaN,0.244,NaN,NaN,NaN,0.345,-0.047,NaN,-7.705,0.006,0.004,0,46.658,45.857,NaN,1.08,0.963,NaN,4.349,11.823,1.576
011,011,0.6,0.6,0.13,80,0,1.00,1.28,NaN,0.216,NaN,0.216,NaN,NaN,NaN,0.323,-0.047,NaN,-8.355,0.006,0.003,0,46.615,45.704,NaN,1.218,1.092,NaN,4.382,11.766,3.006
012,012,0.6,0.6,0.106,80,1,1.00,1.189,NaN,0.177,NaN,0.177,NaN,NaN,NaN,0.277,-0.032,NaN,-6.594,0.006,0.003,0,45.802,45.132,NaN,1.084,1.139,NaN,4.389,11.715,2.791
013,013,0.6,0.6,0.055,80,0,1.00,1.097,NaN,0.091,NaN,0.091,NaN,NaN,NaN,0.247,0.034,NaN,7.952,0.004,0.003,0,45.56,44.934,NaN,1.406,1.37,NaN,4.392,11.681,3.444
014,014,0.6,0.6,0.064,80,1,1.00,0.975,NaN,0.107,NaN,0.107,NaN,NaN,NaN,0.195,0.016,NaN,4.79,0.004,0.003,0,45.289,44.622,NaN,1.078,1.255,NaN,4.429,11.635,2.308
015,015,0.6,0.6,0.055,80,2,1.00,0.853,NaN,0.091,NaN,0.091,NaN,NaN,NaN,0.172,0.043,NaN,14.066,0.004,0.003,0,44.604,44.158,NaN,1.231,1.602,NaN,4.45,11.582,3.449
016,016,0.6,0.6,0.055,80,1,1.00,0.732,NaN,0.091,NaN,0.091,NaN,NaN,NaN,0.124,0.018,NaN,8.199,0.002,0.003,0,43.601,42.929,NaN,1.374,1.458,NaN,4.469,11.538,2.583
017,017,0.6,0.6,0.046,80,0,1.00,0.61,NaN,0.076,NaN,0.076,NaN,NaN,NaN,0.089,0.019,NaN,12.066,0.001,0.001,0,43.107,42.424,NaN,1.656,1.88,NaN,4.472,11.511,2.278
