Desktop_Software_Build_Version,1.7
#,St,Method,%Dep,MeasD,Npts,Spike,CorrFact,Loc,LocY,Depth1,Depth2,FinalD,IceD,WsIceD,WsSlushD,VelX,VelY,VelZ,Angle,VxErr,VyErr,VzErr,SNR1,SNR2,SNR3,SNRStd1,SNRStd2,SNRStd3,Temp,Batt,Tilt
(),(),(),(),(m),(),(),(),(m),(m),(m),(m),(m),(m),(m),(m),(m/s),(m/s),(m/s),(deg),(m/s),(m/s),(m/s),(dB),(dB),(dB),(dB),(dB),(dB),(°C),(V),(deg)
001,001,0.6,0.6,0.15,80,3,1.00,1.829,NaN,0.25,NaN,0.25,NaN,NaN,NaN,0.369,-0.102,NaN,-15.431,0.011,0.007,0,51.524,50.77,NaN,1.113,0.871,NaN,5.998,12.314,0.692
002,002,0.6,0.6,0.137,80,3,1.00,1.951,NaN,0.229,NaN,0.229,NaN,NaN,NaN,0.398,-0.022,NaN,-3.146,0.014,0.008,0,52.286,50.941,NaN,0.914,0.998,NaN,5.9,12.229,2.161
003,003,0.6,0.6,0.148,80,2,1.00,2.073,NaN,0.247,NaN,0.247,NaN,NaN,NaN,0.493,-0.077,NaN,-8.881,0.014,0.008,0,52.257,51.754,NaN,0.946,0.841,NaN,5.9,12.153,3.049
004,004,0.6,0.6,0.221,80,0,1.00,2.195,NaN,0.369,NaN,0.369,NaN,NaN,NaN,0.497,-0.101,NaN,-11.469,0.016,0.008,0,52.285,51.618,NaN,0.885,0.876,NaN,5.9,12.075,3.019
005,005,0.6,0.6,0.21,80,1,1.00,2.316,NaN,0.351,NaN,0.351,NaN,NaN,NaN,0.622,-0.175,NaN,-15.739,0.015,0.009,0,52.246,51.665,NaN,0.873,0.857,NaN,5.9,12.009,3.098
006,006,0.6,0.6,0.174,80,1,1.00,2.438,NaN,0.29,NaN,0.29,NaN,NaN,NaN,0.665,-0.097,NaN,-8.255,0.016,0.008,0,52.76,51.877,NaN,0.789,0.811,NaN,5.9,11.932,2.835
007,007,0.6,0.6,0.234,80,1,1.00,2.56,NaN,0.39,NaN,0.39,NaN,NaN,NaN,0.573,-0.134,NaN,-13.211,0.022,0.013,0,52.652,51.985,NaN,0.931,0.736,NaN,5.9,11.854,4.072
008,008,0.6,0.6,0.247,80,2,1.00,2.682,NaN,0.411,NaN,0.411,NaN,NaN,NaN,0.752,-0.175,NaN,-13.101,0.028,0.012,0,52.279,52.1,NaN,0.901,0.822,NaN,5.9,11.812,3.767
009,009,0.6,0.6,0.254,80,0,1.00,2.804,NaN,0.424,NaN,0.424,NaN,NaN,NaN,0.867,-0.183,NaN,-11.941,0.021,0.01,0,52.802,51.889,NaN,0.764,0.838,NaN,5.9,11.736,3.707
010,010,0.6,0.6,0.137,80,2,1.00,2.926,NaN,0.229,NaN,0.229,NaN,NaN,NaN,0.891,0.092,NaN,5.87,0.013,0.007,0,53.207,52.063,NaN,0.916,0.771,NaN,5.9,11.697,3.395
011,011,0.6,0.6,0.126,80,1,1.00,3.048,NaN,0.21,NaN,0.21,NaN,NaN,NaN,1.014,0.08,NaN,4.506,0.017,0.007,0,53.094,52.124,NaN,0.83,0.842,NaN,5.904,11.624,3.758
012,012,0.6,0.6,0.119,80,0,1.00,3.17,NaN,0.198,NaN,0.198,NaN,NaN,NaN,1.008,0.049,NaN,2.767,0.016,0.008,0,53.346,52.452,NaN,0.828,0.809,NaN,5.922,11.597,3.307
013,013,0.6,0.6,0.254,80,0,1.00,3.292,NaN,0.424,NaN,0.424,NaN,NaN,NaN,1.259,0.057,NaN,2.614,0.014,0.008,0,53.078,51.901,NaN,0.864,0.834,NaN,5.933,11.549,3.468
014,014,0.6,0.6,0.265,80,0,1.00,3.383,NaN,0.442,NaN,0.442,NaN,NaN,NaN,1.254,0.185,NaN,8.399,0.017,0.009,0,52.909,51.696,NaN,0.87,0.809,NaN,5.939,11.496,3.674
015,015,0.6,0.6,0.252,80,2,1.00,3.475,NaN,0.421,NaN,0.421,NaN,NaN,NaN,1.179,0.135,NaN,6.525,0.021,0.01,0,52.516,51.547,NaN,0.873,0.845,NaN,5.939,11.452,4.408
016,016,0.6,0.6,0.252,80,1,1.00,3.566,NaN,0.421,NaN,0.421,NaN,NaN,NaN,1.136,0.006,NaN,0.301,0.023,0.013,0,52.562,51.789,NaN,0.808,0.677,NaN,5.939,11.445,3.561
017,017,0.2/0.6/0.8,0.2,0.093,80,1,1.00,3.658,NaN,0.463,NaN,0.463,NaN,NaN,NaN,1.398,0.185,NaN,7.542,0.016,0.016,0,53.593,52.618,NaN,0.979,0.894,NaN,5.94,11.402,2.457
017,017,0.2/0.6/0.8,0.6,0.278,80,3,1.00,3.658,NaN,0.463,NaN,0.463,NaN,NaN,NaN,0.984,0.058,NaN,3.386,0.038,0.013,0,51.966,51.309,NaN,0.777,0.674,NaN,5.958,11.383,4.103
017,017,0.2/0.6/0.8,0.8,0.371,80,1,1.00,3.658,NaN,0.463,NaN,0.463,NaN,NaN,NaN,0.646,0.235,NaN,20.005,0.037,0.016,0,52.266,51.204,NaN,0.773,0.764,NaN,5.939,11.407,4.01
018,018,0.2/0.8,0.2,0.099,80,2,1.00,3.749,NaN,0.494,NaN,0.494,NaN,NaN,NaN,1.38,0.044,NaN,1.817,0.015,0.011,0,53.928,52.56,NaN,1.34,1.856,NaN,5.979,11.352,1.279
018,018,0.2/0.8,0.8,0.395,80,0,1.00,3.749,NaN,0.494,NaN,0.494,NaN,NaN,NaN,0.696,0.122,NaN,9.941,0.033,0.015,0,51.995,51.442,NaN,0.758,0.772,NaN,5.975,11.369,3.28
019,019,0.2/0.8,0.2,0.096,80,0,1.00,3.84,NaN,0.482,NaN,0.482,NaN,NaN,NaN,1.077,0.168,NaN,8.889,0.044,0.022,0,54.235,52.048,NaN,1.67,2.71,NaN,5.979,11.35,2.716
019,019,0.2/0.8,0.8,0.385,80,0,1.00,3.84,NaN,0.482,NaN,0.482,NaN,NaN,NaN,0.904,0.162,NaN,10.177,0.044,0.014,0,52.629,51.53,NaN,0.705,0.795,NaN,5.979,11.342,2.445
020,020,0.2/0.6/0.8,0.2,0.096,80,0,1.00,3.932,NaN,0.482,NaN,0.482,NaN,NaN,NaN,0.777,0.067,NaN,4.963,0.034,0.015,0,53.158,50.709,NaN,1.989,3.009,NaN,5.979,11.32,2.673
020,020,0.2/0.6/0.8,0.6,0.289,80,4,1.00,3.932,NaN,0.482,NaN,0.482,NaN,NaN,NaN,1.179,0.049,NaN,2.37,0.029,0.012,0,53.112,52.284,NaN,1.148,0.976,NaN,5.98,11.311,3.053
020,020,0.2/0.6/0.8,0.8,0.385,80,2,1.00,3.932,NaN,0.482,NaN,0.482,NaN,NaN,NaN,0.845,0.162,NaN,10.84,0.036,0.017,0,52.34,51.584,NaN,0.848,0.907,NaN,5.979,11.315,3.221
021,021,0.6,0.6,0.262,80,3,1.00,4.023,NaN,0.436,NaN,0.436,NaN,NaN,NaN,0.814,0.098,NaN,6.883,0.032,0.016,0,53.044,52.168,NaN,1.086,0.942,NaN,5.994,11.294,3.289
022,022,0.2/0.8,0.2,0.101,80,3,1.00,4.115,NaN,0.503,NaN,0.503,NaN,NaN,NaN,0.704,-0.128,NaN,-10.296,0.029,0.016,0,53.046,52.124,NaN,1.687,1.666,NaN,6.018,11.283,3.08
022,022,0.2/0.8,0.8,0.402,80,2,1.00,4.115,NaN,0.503,NaN,0.503,NaN,NaN,NaN,0.624,0.203,NaN,18.007,0.03,0.019,0,52.188,51.804,NaN,0.833,1.1,NaN,6.011,11.287,2.594
023,023,0.6,0.6,0.271,80,1,1.00,4.267,NaN,0.451,NaN,0.451,NaN,NaN,NaN,0.637,0,NaN,-0.033,0.036,0.016,0,52.294,51.456,NaN,0.831,0.941,NaN,6.018,11.27,3.335
024,024,0.6,0.6,0.267,80,0,1.00,4.42,NaN,0.445,NaN,0.445,NaN,NaN,NaN,0.441,0.046,NaN,5.957,0.026,0.014,0,52.452,51.279,NaN,1.061,0.883,NaN,6.018,11.278,2.636
025,025,0.2/0.8,0.2,0.098,80,1,1.00,4.481,NaN,0.491,NaN,0.491,NaN,NaN,NaN,0.76,-0.013,NaN,-0.965,0.029,0.012,0,52.888,51.446,NaN,1.396,1.633,NaN,6.029,11.245,2.202
